date,mkt_index,rf_index
19260701,1.00109,1.00009
19260702,1.005685003,1.000180008
19260706,1.007485179,1.000270024
19260707,1.00848259,1.000360049
19260708,1.010691166,1.000450081
19260709,1.003606221,1.000540122
19260710,1.009918905,1.00063017
19260712,1.010413765,1.000720227
19260713,1.015354688,1.000810292
19260714,1.015852212,1.000900365
19260715,1.011575474,1.000990446
19260716,1.017027866,1.001080535
19260717,1.020577293,1.001170632
19260719,1.020567087,1.001260737
19260720,1.014841706,1.001350851
19260721,1.008843992,1.001440972
19260722,1.001570226,1.001531102
19260723,1.001460054,1.00162124
19260724,1.000148141,1.001711386
19260726,1.005538939,1.00180154
19260727,1.009953255,1.001891702
19260728,1.021052642,1.001981872
19260729,1.024820326,1.002072051
19260730,1.026347308,1.002162237
19260731,1.031160877,1.002252432
19260802,1.039925744,1.002352657
19260803,1.044917388,1.002452892
19260804,1.041260177,1.002553137
19260805,1.040427169,1.002653393
19260806,1.047606117,1.002753658
19260807,1.052529865,1.002853933
19260809,1.054845431,1.002954219
19260810,1.040183079,1.003054514
19260811,1.034358054,1.00315482
19260812,1.043150098,1.003255135
19260813,1.049304683,1.003355461
19260814,1.056649816,1.003455796
19260816,1.057495136,1.003556142
19260817,1.047554682,1.003656497
19260818,1.050383079,1.003756863
19260819,1.044185819,1.003857239
19260820,1.042201866,1.003957625
19260821,1.045641132,1.00405802
19260823,1.050869338,1.004158426
19260824,1.042147122,1.004258842
19260825,1.038916466,1.004359268
19260826,1.044526615,1.004459704
19260827,1.048286911,1.00456015
19260828,1.051955915,1.004660606
19260830,1.055216979,1.004761072
19260831,1.061442759,1.004861548
19260901,1.067376224,1.004951985
19260902,1.066831862,1.005042431
19260903,1.072262036,1.005132885
19260907,1.078684886,1.005223347
19260908,1.073280674,1.005313817
19260909,1.072625973,1.005404295
19260910,1.063819714,1.005494782
19260911,1.059234651,1.005585276
19260913,1.059012212,1.005675779
19260914,1.068638633,1.00576629
19260915,1.066490669,1.005856809
19260916,1.06466697,1.005947336
19260917,1.054009654,1.006037871
19260918,1.061482582,1.006128414
19260920,1.054784627,1.006218966
19260921,1.058043911,1.006309526
19260922,1.056763678,1.006400094
19260923,1.059606373,1.00649067
19260924,1.066271297,1.006581254
19260925,1.068606431,1.006671846
19260927,1.067420278,1.006762446
19260928,1.067516346,1.006853055
19260929,1.064409873,1.006943672
19260930,1.067698899,1.007034297
19261001,1.075631902,1.007165211
19261002,1.074696103,1.007296143
19261004,1.059790068,1.007427091
19261005,1.04827015,1.007558057
19261006,1.042536112,1.007689039
19261007,1.034644113,1.007820039
19261008,1.040883017,1.007951056
19261009,1.031025855,1.008082089
19261011,1.02404581,1.00821314
19261013,1.031244852,1.008344208
19261014,1.041381989,1.008475292
19261015,1.022460078,1.008606394
19261016,1.01512904,1.008737513
19261018,1.02236691,1.008868649
19261019,1.011662728,1.008999802
19261020,1.009265088,1.009130972
19261021,1.024838048,1.009262159
19261022,1.020871925,1.009393363
19261023,1.026517346,1.009524584
19261025,1.025624276,1.009655822
19261026,1.029039605,1.009787077
19261027,1.039463776,1.00991835
19261028,1.038767336,1.010049639
19261029,1.038279115,1.010180946
19261030,1.035818393,1.010312269
19261101,1.040717814,1.01044361
19261103,1.042934543,1.010574967
19261104,1.049223439,1.010706342
19261105,1.050094294,1.010837734
19261106,1.051910957,1.010969143
19261108,1.057517643,1.011100569
19261109,1.059029893,1.011232012
19261110,1.052813387,1.011363472
19261111,1.060004103,1.011494949
19261112,1.062685913,1.011626444
19261113,1.060273616,1.011757955
19261115,1.064334464,1.011889484
19261116,1.066069329,1.012021029
19261117,1.062476676,1.012152592
19261118,1.05751491,1.012284172
19261119,1.050884291,1.012415769
19261120,1.055224443,1.012547383
19261122,1.061376402,1.012679014
19261123,1.065016923,1.012810662
19261124,1.066007389,1.012942328
19261126,1.068277984,1.01307401
19261127,1.066814443,1.01320571
19261129,1.063005916,1.013337426
19261130,1.065907922,1.01346916
19261201,1.06986244,1.013580642
19261202,1.075436424,1.013692136
19261203,1.078996118,1.013803642
19261204,1.077280514,1.01391516
19261206,1.077829928,1.014026691
19261207,1.077517357,1.014138234
